ddi_class	organ
neurotoxicity, increase	others/general
neutropenia, increase	blood
neutropenia, thrombocytopenia, increase	blood
opioid antagonism, increase	others/general
orthostatic hypotension, dizziness, increase	heart
orthostatic hypotension, hypotension, antihypertension, increase	heart
orthostatic hypotension, increase	heart
orthostatic hypotension, syncope, increase	heart, others/general
ototoxicity, increase	others/general
ototoxicity, nephrotoxicity, increase	kidney, others/general
photosensitizing, increase	others/general
protein binding, decrease	others/general
pseudotumor cerebri, increase	others/general
reduced gastrointestinal motility, increase	gastrointestinal
renal failure, hyperkalemia, hypertension, increase	kidney
renal failure, hypertension, increase	kidney
renal failure, hypotension, hyperkalemia, increase	kidney
renal failure, hypotension, increase	kidney
renal failure, increase	kidney
respiratory depression, increase	lung
sedation, decrease	others/general
sedation, increase	others/general
sedation, somnolence, increase	others/general
sedation, stimulatory, decrease	others/general
seizure, increase	others/general
serotonin, CNS depression, increase	others/general
serotonin, hypomania, increase	others/general
serotonin, increase	others/general
serotonin, opioid toxicity, increase	others/general
serotonin, seizure, increase	others/general
serum level of the active metabolites, decrease	others/general
serum level of the active metabolites, decrease | efficacy, decrease	others/general
serum level of the active metabolites, increase	others/general
serum level, decrease	others/general
serum level, increase	others/general
stimulatory, decrease	others/general
sympathomimetic, increase	heart
tachycardia, drowsiness, increase	heart, others/general
tachycardia, increase	heart
tendinopathy, increase	others/general
therapeutic efficacy, decrease	others/general
therapeutic efficacy, increase	others/general
thrombocytopenia, increase	blood
thrombosis, increase	blood
ulceration, increase	gastrointestinal
urinary retention, increase	urinary
urinary retention, reduced gastrointestinal motility, constipation, increase	gastrointestinal, urinary
vasoconstricting, increase	heart
vasodilatory, increase	heart
vasopressor, increase	heart
vasospastic reactions, increase	heart
ventricular arrhythmias, cardiac arrhythmia, increase	heart
