Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Apalutamide	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11901">DB11901</a>	L02BB05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3183409">CHEMBL3183409</a>	Nonmetastatic Prostate Cancer	AR	2024-02-07	
Arsenic Trioxide	Y	Y	N		Y	2018	Y	<a href="https://go.drugbank.com/drugs/DB01169">DB01169</a>	L01XX27	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200978">CHEMBL1200978</a>	Refractory Acute Promyelocytic Leukemia	FAS; SERPINE1; TXNRD2; CCND1; CDKN1A; IKBKB; FLT3; TXNRD1; FGFR1; HSPA4; IL6; EPO; SMO; MYCN; TERT; MAPK3; RARA; BDNF; JUN; BIRC5; MT1A; MAPK1; MAPK10; PML; GSTO1; DNMT1	2024-02-07	
Asciminib	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB12597">DB12597</a>	L01EA06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4208229">CHEMBL4208229</a>	Philadelphia chromosome-positive chronic myeloid leukemia in chronic phase	ABL1	2024-02-07	
Asparaginase	Y	Y	N		Y	1994	N	<a href="https://go.drugbank.com/drugs/DB00023">DB00023</a>	L01XX02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108989">CHEMBL2108989</a>	Acute Lymphoblastic Leukaemias (ALL)	ETV6; GRIA1; NFATC2; GATA3; PNPLA3; CPA2; HLA-DRB1; MTHFR; LPL; PYGL; SOD2; ASNS	2024-02-07	
Atezolizumab	Y	Y	N		N	2016	N	<a href="https://go.drugbank.com/drugs/DB11595">DB11595</a>	L01FF05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3707227">CHEMBL3707227</a>	Metastatic Non-Small Cell Lung Cancer; Small Cell Lung Cancer (SCLC); Triple Negative Breast Cancer (TNBC); Urothelial carcinoma ureter metastatic; Locally advanced Urothelial Carcinoma	BRAF; CD274; STK11; ALK; ARID1A; KRAS; JAK3; HLA-DRA; MDM4; EGFR; PBRM1; CTLA4; FGFR3; CX3CL1; PTEN	2024-02-07	
Avapritinib	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15233">DB15233</a>	L01EX18	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4204794">CHEMBL4204794</a>	Metastatic Gastrointestinal Stromal Tumor; Unresectable Gastrointestinal stromal tumor	KIT; CBL; FLT3; PDGFRA	2024-02-07	
Avelumab	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB11945">DB11945</a>	L01FF04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3833373">CHEMBL3833373</a>	Locally advanced disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC); Locally advanced disease has progressed within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy urothelial carcinoma (UC); Metastatic Merkel Cell Carcinoma (MCC); Metastatic disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC); Metastatic disease has progressed within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy urothelial carcinoma (UC)	CD274; MLH1; ATM; MSH6	2024-02-07	
Axicabtagene Ciloleucel	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB13915">DB13915</a>	L01XX70	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989989">CHEMBL3989989</a>	Refractory Diffuse large B-cell lymphoma NOS; Refractory High grade B-cell lymphoma Burkitt-like lymphoma; Refractory Primary Mediastinal Large B-Cell Lymphoma; Relapsed Diffuse large B-cell lymphoma NOS; Relapsed High grade B-cell lymphoma Burkitt-like lymphoma; Relapsed Primary Mediastinal Large B-Cell Lymphoma	CD19	2024-02-07	
Axitinib	Y	Y	N		N	2012	N	<a href="https://go.drugbank.com/drugs/DB06626">DB06626</a>	L01EK01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1289926">CHEMBL1289926</a>	Advanced Thyroid cancer	FLT1; PDGFRB; FLT4; KDR; YES1; BRAF; ABL1; PDGFB; VHL; UGT1A7; ABCG2; OR2B11; UGT1A10; UGT1A8; UGT1A9; HIF1A; KIT; PDGFRA	2024-02-07	
Azacitidine	Y	Y	N		N	2004	Y	<a href="https://go.drugbank.com/drugs/DB00928">DB00928</a>	L01BC07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1489">CHEMBL1489</a>	Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia	TAGLN; ATAD5; IDH1; DNMT1; NFE2L2; TRIT1; SMAD3; TET2; GSTP1; TP53; CDA; AFP; RORC; GGT1; PLAU; ALDH1A1; GATA2; TG; IDH2; NR3C1; HBB; LIF; CD247; AR; ABL1; THPO; DNMT3A; IL11; HTT; MYC; GMNN; FLT3; MGMT	2024-02-07	
BCG Vaccine	Y	Y	N		Y			<a href="https://go.drugbank.com/drugs/DB12768">DB12768</a>	L03AX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108905">CHEMBL2108905</a>	Non-Invasive Bladder Urothelial Carcinoma; Recurrent Superficial Bladder Cancer; Urothelial Carcinoma Recurrent; Carcinoma in situ of urinary bladder	CSF2; NOS1; SFTPA1; IL15; HLA-B; BAX; TNF; FAS; EIF2AK2; MAPK8; AFP; PIK3CA; CXCL2	2024-02-07	
Belantamab Mafodotin	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15719">DB15719</a>	L01FX15	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298209">CHEMBL4298209</a>	Relapsed Or Refractory Multiple Myeloma	TUBB2A; TUBB1; TUBA3C; TUBB3; TUBB2B; TUBB4A; TUBA1B; TUBB8; TNFRSF17; TUBB4B; TUBB; TUBA3E; TUBA1A; TUBB6; TUBA1C; TUBA4A	2024-02-07	
Belinostat	N	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB05015">DB05015</a>	L01XH04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL408513">CHEMBL408513</a>	Relapsed Peripheral T-Cell Lymphoma; Refractory Peripheral T-cell Lymphoma Unspecified	HDAC1; HDAC4; HDAC9; HDAC3; HDAC5; HDAC8; HDAC11; UGT1A1; FBXW7; HDAC2; HDAC6; KMT2A; HDAC10; HDAC7	2024-02-07	
Belotecan	N	N	N	South Korea	N	2003		<a href="https://go.drugbank.com/drugs/DB12459">DB12459</a>	L01CE04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2111084">CHEMBL2111084</a>		TOP1	2024-02-07	
Belzutifan	N	Y	N		N	2023	N	<a href="https://go.drugbank.com/drugs/DB15463">DB15463</a>	L01XX74	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4585668">CHEMBL4585668</a>	Advanced Renal Cell Carcinoma	VHL; EPAS1	2024-02-07	
Bendamustine	N	Y	Y		Y	2008	Y	<a href="https://go.drugbank.com/drugs/DB06769">DB06769</a>	L01AA09	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL487253">CHEMBL487253</a>	Chronic Lymphocytic Leukaemia (CLL); Follicular Non-Hodgkin&#39;s Lymphoma Refractory; Refractory Hodgkin Lymphoma; Refractory Mantle Cell Lymphoma; Waldenstrom&#39;s Macroglobulinemia (WM); Recurrent multiple myeloma; Refractory indolent B cell non-hodgkin lymphoma	CD69; ATM; TP53	2024-02-07	
Bevacizumab	Y	Y	N		Y	2004	N	<a href="https://go.drugbank.com/drugs/DB00112">DB00112</a>	S01LA08; L01FG01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201583">CHEMBL1201583</a>	Cervical Cancer Metastatic; Metastatic Colorectal Cancer (MCRC); Metastatic Non-Squamous Non-Small Cell Lung Cancer; Metastatic Renal Cell Carcinoma; Persistent Cervical Cancer; Recurrent Cervical Cancer; Recurrent Glioblastoma; Stage III epithelial ovarian cancer following initial surgical resection; Stage IV epithelial ovarian cancer following initial surgical resection; Fallopian tube cancer following initial surgical resection; Locally advanced nonsquamous non-small cell lung cancer; Primary peritoneal cancer following initial surgical resection; Recurrent Non-Squamous Non-Small Cell Lung Cancer; Recurrent Platinum-Sensitive Epithelial Ovarian Cancer; Recurrent Platinum-resistant Epithelial Ovarian Cancer; Recurrent platinum drug resistant Fallopian tube cancer; Recurrent platinum drug resistant primary peritoneal cancer; Recurrent platinum sensitive primary peritoneal cancer; Recurrent platinum-sensitive fallopian tube cancer; Unresectable Non-Squamous Non-Small-Cell Lung Cancer	EDN1; HRAS; NF1; VEGFA; CXCR4; KRAS; NF2; MTHFR; SHMT1; ANXA11; EGFR; CXCL8; KIT; HSP90AB1; ARID1A; MGAT4A; GC; VEGFB; CCT3; MMP9; ALK; PRKCA; TP53; THBS2; HOXC10; PIK3CA; F2R; EML4; VEGFC; FOXF1; MMP2; GGH; IDH1; BRAF; VHL; RALBP1	2024-02-07	
Bexarotene	Y	Y	N		N	1999	Y	<a href="https://go.drugbank.com/drugs/DB00307">DB00307</a>	L01XF03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1023">CHEMBL1023</a>	Refractory peripheral cutaneous T-cell lymphoma	RXRA; RXRB; MAPK8; KAT2A; RXRG; NR1I2; BLM; NR1H3; USP1	2024-02-07	
Bicalutamide	N	Y	Y		Y	1995	Y	<a href="https://go.drugbank.com/drugs/DB01128">DB01128</a>	L02BB03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL409">CHEMBL409</a>	Stage D2 Prostatic carcinoma	CYP2B6; FST; BAX; CFLAR; AR; KMT2D; VDR; KLK3; CDH1	2024-02-07	
Binimetinib	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11967">DB11967</a>	L01EE03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3187723">CHEMBL3187723</a>	Metastatic Melanoma; Unresectable Melanoma	MAP2K2; APC; PTEN; MAP2K1; KRAS; BRAF; UGT1A1; NRAS; JAK2; MAP2K3; HRAS; ATM; MAP2K5; MAP2K4; PIK3CA; MAP2K6; MAP2K7; NF1; KIT	2024-02-07	
Bleomycin	N	Y	Y		Y	1973	Y	<a href="https://go.drugbank.com/drugs/DB00290">DB00290</a>	L01DC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL403664">CHEMBL403664</a>	Cervical Cancers; Head and Neck Carcinoma; Intracranial Germ Cell Tumors; Lymphoma, Hodgkins; Malignant Pleural Effusions; Non-Hodgkin&#39;s Lymphoma (NHL); Ovarian Cancer; Penile Cancer; Testicular Cancer; Vulvar Cancers; Early Kaposi&#39;s sarcoma	IFNG; MAPK8; F2R; PLAU; NFE2L2; SMAD2; BLMH; AFP; WRN; GJA1; CCL17; CTLA4; GSTP1; ADK; GSTM1; BRCA1; LIG1	2024-02-07	
Blinatumomab	Y	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB09052">DB09052</a>	L01FX07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742992">CHEMBL1742992</a>	Precursor B-Lymphoblastic Lymphoma/Leukaemia Refractory; Relapsed B cell precursor Acute lymphoblastic leukemia	CD19; CD3E; CD3D; ABL1; BCR; CD3G; CD247	2024-02-07	
Bortezomib	Y	Y	N		Y	2003	Y	<a href="https://go.drugbank.com/drugs/DB00188">DB00188</a>	L01XG01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL325041">CHEMBL325041</a>	Mantle Cell Lymphoma (MCL); Multiple Myeloma (MM)	PSMB1; PSMD7; PSMC2; PSMA3; PSME1; PSMB4; PSMD4; PSMC1; PSMD12; PSMD3; BDNF; PSMA7; PSMD14; PSMD10; PSMB6; PSMD8; PRSS3; PSMA4; PSMB10; CAPN1; PSMD10P1; PSMC3; PSMB11; F2; PSME4; PSMD1; PSME2; PSMD9; PSMB2; PSMD13; PLG; PSMB8; PSME2P2; PIPSL; PSMA5; PMAIP1; PSMA2; PSMC4; CTSB; PLAT; F12; ADRM1; PSMB3; PSMC5; PRSS1; AR; PSMF1; PSMA8; CTLA4; XIAP; PSMC3IP; PSME3; BCL2; BCL2L2; PSMD5; CTSL; PSMC1P1; NFE2L2; CCND1; SEM1; PSMB9; PSMD11; FLT3; PSMA1; E2F1; DDIT3; PSMD10P3; PIK3CA; TP53; PRB2; PRSS2; HSPB2; FGFR3; PIK3CG; GATA2; PSMD10P2; PSMD6; NFKB1; PSMC6; PSMD4P1; PSMD2; PSMB7; HSPA4; PSMA6; PSMB5	2024-02-07	
Bosutinib	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06616">DB06616</a>	L01EA04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL288441">CHEMBL288441</a>	Refractory, accelerated phase Chronic myelogenous leukemia; Refractory, blast phase Chronic myelogenous leukemia; Refractory, chronic phase Chronic myelogenous leukemia	ABL1; SRC; BRCA2; LYN; CAMK2G; HCK; BRAF; BCR	2024-02-07	
Brentuximab vedotin	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08870">DB08870</a>	L01FX05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742994">CHEMBL1742994</a>	B-large cell anaplastic Lymphoma (Kiel Classification) refractory; Refractory Hodgkin Lymphoma; Post-autologous hematopoietic stem cell transplantation Hodgkin lymphoma	TUBB2A; TUBA3C; TUBA4A; TUBB1; ALK; TNFRSF8; TUBB2B; TUBB4A; TUBA1A; TUBB; TUBB4B; TUBA1B; TUBB6; TUBA3E; TUBB8; TUBB3; TUBA1C	2024-02-07	
Brexucabtagene Autoleucel	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15699">DB15699</a>	L01XL06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4594618">CHEMBL4594618</a>	Refractory Mantle Cell Lymphoma; Relapsed Mantle Cell Lymphoma	CD19	2024-02-07	
Brigatinib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB12267">DB12267</a>	L01ED04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545311">CHEMBL3545311</a>	Metastatic Non-Small Cell Lung Cancer	ALK; EGFR; FGFR1; ROS1; FLT3; TP53; EML4	2024-02-07	
Buserelin	N	N	Y		N	2017	N	<a href="https://go.drugbank.com/drugs/DB06719">DB06719</a>	L02AE01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2110824">CHEMBL2110824</a>	Stage D2 Prostatic carcinoma	GNRHR; IGFBP1	2024-02-07	
Busulfan	Y	Y	N		N	1954	Y	<a href="https://go.drugbank.com/drugs/DB01008">DB01008</a>	L01AB01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL820">CHEMBL820</a>	Essential Thrombocythemia (ET); Polycythemia Vera (PV); Chronic Chronic myelogenous leukemia	GSTM1; GSTA1; BCR; ABL1; CYP2D6; CYP2C9; ADK; GSTP1; ITGAL; CYP2C19; CYP2B6; THPO; CYP3A4; SHBG; GALC; G6PD; CYP1A2; ABCC3	2024-02-07	
Cabazitaxel	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06772">DB06772</a>	L01CD04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201748">CHEMBL1201748</a>	Refractory, metastatic hormone-refractory Prostate cancer	TUBA1C; TUBB2B; TUBA3C; TUB; IGF2; TUBB4B; TUBA1A; CYP3A4; TUBA4A; TUBB; TUBB1; TUBA1B; TUBB3; TUBB8; TUBB2A; TUBA3E; CYP3A5; ABCB1; TUBB6; TUBB4A	2024-02-07	
Cabozantinib	Y	Y	N		N	2012	N	<a href="https://go.drugbank.com/drugs/DB08875">DB08875</a>	L01EX07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105717">CHEMBL2105717</a>	Advanced Renal Cell Carcinoma; Hepatocellular Carcinoma; Metastatic Clear Cell Renal Cell Carcinoma; Progressive, metastatic Medullary thyroid cancer	MET; RET; KIT; PIK3CA; HRAS; HGF; TEK; FLT3; CTNNB1; ABL1; GNA11; KDR; NRAS; CFLAR; YES1; ROS1	2024-02-07	
Calaspargase Pegol	N	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB14730">DB14730</a>		<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108728">CHEMBL2108728</a>	Acute Lymphoblastic Leukaemias (ALL)	ASRGL1	2024-02-07	
Capecitabine	Y	Y	N		Y	1998	Y	<a href="https://go.drugbank.com/drugs/DB01101">DB01101</a>	L01BC06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1773">CHEMBL1773</a>	Duke&#39;s C Colon cancer; Esophageal Cancers; Hepatobiliary Cancers; Malignant Neoplasm of Stomach; Metastatic Breast Cancer; Metastatic Colorectal Carcinoma; Pancreatic Cancer Metastatic; Refractory Fallopian Tube Carcinoma; Metastatic pancreatic endocrine carcinoma; Refractory Ovarian cancer; Refractory peritoneal cancer; Refractory, metastatic Colorectal carcinoma	SSU72; CYP1A1; NSUN3; ABCG2; DPYD; TP53; REV3L; CES1P1; ADCY2; KRAS; SLC19A1; ABCB1; TYMS; PIK3CA; AREG; CES1; MGAT4A; UGT1A1; CD96; EXO1; ATM; BRAF; PTEN; TYMSOS; UPB1; ADGRG7; SELE; UMPS; CYP19A1; ZMIZ1; SLC22A7; DLG5; ERBB2; PTGS2	2024-02-07	
Capivasertib	N	Y	N		N	2023	N	<a href="https://go.drugbank.com/drugs/DB12218">DB12218</a>	L01EX27	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2325741">CHEMBL2325741</a>	Hormone Receptor-positive, HER2-negative, Locally Advanced or Metastatic Breast Cancer	AKT2; PIK3CA; AKT1; AKT3; PTEN; MTOR; TP53	2024-02-07	
Capmatinib	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB11791">DB11791</a>	L01EX17	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3188267">CHEMBL3188267</a>	Metastatic Non-Small Cell Lung Cancer	MET; PTEN	2024-02-07	
Carboplatin	N	Y	Y		Y	1989	Y	<a href="https://go.drugbank.com/drugs/DB00958">DB00958</a>	L01XA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1351">CHEMBL1351</a>	Advanced Cervical Cancer; Advanced Endometrial Cancer; Advanced Esophageal Cancers; Advanced Head and Neck Cancer; Advanced Melanoma; Advanced Non Small Cell Lung Cancer; Advanced Ovarian Carcinoma; Advanced Sarcoma; Metastatic Breast Cancer; Neuroendocrine Carcinoma of the Skin; Pleural mesothelioma malignant; Refractory Hodgkin Lymphoma; Retinoblastoma; Advanced Bladder cancer; Advanced Small cell lung cancer; Advanced Testicular cancer; Advanced Thymoma; Advanced thymic carcinoma; Refractory Non-Hodgkin&#39;s lymphoma	SERPINA5; SLC31A1; KRAS; MAP3K1; ATP7B; GCLC; DSCAM; MUCL3; HSD17B10; CYP3A5; CDSN; EGFR; GSTP1; MTR; NF2; PSORS1C1; C6orf15; ATP7A; CDKN1A; XRCC1; HCP5; MAD1L1; ACSS2; VDR; VEGFA; PTEN; TP53; TP73; ATAT1; FGFR1; SLC19A1; SLCO1B3; PIK3CA; ERBB2; DOCK8; ETS2; ERCC2; ROS1; GSTT1; NRAS; GPX5; NR1I2; BRCA1; USP1; MTHFR; ABCB1; PPP1R18; FNTB; RRM1; POLK; UGT1A1; BIRC5; HLA-C; CDK2; TNF; ERCC1; ERBB3; TRIM5; KAT2A; APEX1; RNF8; ALDH1A1; OPRM1; EIF4E2; ADAMTSL4-AS1; MAPT; BCL2; BRCA2; SOX10; SERPINC1; GSR; PRRC2A; NRG1; TIGD1; MSH5; RAF1; XYLT2; DDX53; SCN10A; OR4D6	2024-02-07	
