diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6A	phosphodiesterase 6A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1B	phosphodiesterase 1B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL414357	EXENATIDE	Protein	Glucagon-like peptide 1 receptor agonist		GLP1R	glucagon like peptide 1 receptor	4	Completed	https://clinicaltrials.gov/ct2/show/NCT01208649
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2105711	TOFOGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02649465
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1201497	INSULIN GLARGINE	Protein	Insulin receptor agonist		INSR	insulin receptor	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6D	phosphodiesterase 6D	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6H	phosphodiesterase 6H	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	Adenosine A2 receptor antagonist		ADORA2B	adenosine A2b receptor	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL4084119	LIRAGLUTIDE	Protein	Glucagon-like peptide 1 receptor agonist		GLP1R	glucagon like peptide 1 receptor	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE10A	phosphodiesterase 10A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1491	AMLODIPINE	Small molecule	Voltage-gated L-type calcium channel blocker		CACNA1F	calcium voltage-gated channel subunit alpha1 F	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL429910	DAPAGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	4	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05254626
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE5A	phosphodiesterase 5A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE3B	phosphodiesterase 3B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2108724	SEMAGLUTIDE	Protein	Glucagon-like peptide 1 receptor agonist		GLP1R	glucagon like peptide 1 receptor	4	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05813249
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE2A	phosphodiesterase 2A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1481	GLIMEPIRIDE	Small molecule	Sulfonylurea receptor 1, Kir6.2 blocker		KCNJ11	potassium inwardly rectifying channel subfamily J member 11	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02649465
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6B	phosphodiesterase 6B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1491	AMLODIPINE	Small molecule	Voltage-gated L-type calcium channel blocker		CACNA1D	calcium voltage-gated channel subunit alpha1 D	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1491	AMLODIPINE	Small molecule	Voltage-gated L-type calcium channel blocker		CACNA1S	calcium voltage-gated channel subunit alpha1 S	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL595	PIOGLITAZONE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	4	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05813249,https://clinicaltrials.gov/ct2/show/NCT05254626
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1422	SITAGLIPTIN	Small molecule	Dipeptidyl peptidase IV inhibitor		DPP4	dipeptidyl peptidase 4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2110731	TOFOGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02649465
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1017	TELMISARTAN	Small molecule	Type-1 angiotensin II receptor antagonist		AGTR1	angiotensin II receptor type 1	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4D	phosphodiesterase 4D	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1491	AMLODIPINE	Small molecule	Voltage-gated L-type calcium channel blocker		CACNA1C	calcium voltage-gated channel subunit alpha1 C	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1138	EZETIMIBE	Small molecule	Niemann-Pick C1-like protein 1 inhibitor		NPC1L1	NPC1 like intracellular cholesterol transporter 1	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT01950884
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1481	GLIMEPIRIDE	Small molecule	Sulfonylurea receptor 1, Kir6.2 blocker		ABCC8	ATP binding cassette subfamily C member 8	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02649465
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL787	MONTELUKAST	Small molecule	Cysteinyl leukotriene receptor 1 antagonist		CYSLTR1	cysteinyl leukotriene receptor 1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04537780
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE3A	phosphodiesterase 3A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6G	phosphodiesterase 6G	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1C	phosphodiesterase 1C	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	Adenosine A2 receptor antagonist		ADORA2A	adenosine A2a receptor	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4B	phosphodiesterase 4B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL595	PIOGLITAZONE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	4	Completed	https://clinicaltrials.gov/ct2/show/NCT00227110,https://clinicaltrials.gov/ct2/show/NCT01002547
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor	Inhibitor	GPD2	glycerol-3-phosphate dehydrogenase 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA4	NDUFA4 mitochondrial complex associated	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1715	PIOGLITAZONE HYDROCHLORIDE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	4	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05813249
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1A	phosphodiesterase 1A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE8B	phosphodiesterase 8B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE7A	phosphodiesterase 7A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6C	phosphodiesterase 6C	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4C	phosphodiesterase 4C	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL1551	URSODIOL	Small molecule	Bile acid receptor FXR agonist		NR1H4	nuclear receptor subfamily 1 group H member 4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2107830	EMPAGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	4	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT04642261
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1581	PERINDOPRIL	Small molecule	Angiotensin-converting enzyme inhibitor		ACE	angiotensin I converting enzyme	4	Unknown status	https://clinicaltrials.gov/ct2/show/NCT02213224
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1042	CHOLECALCIFEROL	Small molecule	Vitamin D receptor agonist		VDR	vitamin D receptor	3	Completed	https://clinicaltrials.gov/ct2/show/NCT02098317
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
