,MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
32,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,CID649460,COc1cc(C)nc(NS(=O)(=O)c2ccc(C)cc2)n1
33,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,,,CID649461,Cc1ccc(Cn2c(SCCN3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1
34,,,0.0,,,,,,,,,,,,,,,CID5390001,O=C(Cc1cc(=O)oc2cc(O)ccc12)NCC1CCC(C(=O)O)CC1
35,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,,,CID649469,Cc1ccc(Nc2nc(C(=O)NCc3ccco3)cs2)cc1
36,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,CID1101214,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c3ccccc3ccn2c1C(N)=O
37,,,0.0,,,,,,,,,,,,,,,CID5390000,Cc1[nH]nc(NC=C2C(=O)N(C)C(=O)N(C)C2=O)c1-c1ccccc1
38,,,,,,0.0,,,,,,0.0,,,,,,CID916005,CCCn1c2ccc(/C(C)=N/O)cc2c2cc(/C(C)=N/O)ccc21
39,,,,,,,,,,,,,,,0.0,,,CID1511280,CC(=O)N1CCC2(CC1)NC(=O)N(c1ccccc1)N2
40,,,,,,,,,,,,0.0,,,,,,CID2010510,COCCCNc1ncnc2c1[nH]c1ccccc12
41,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,CID2999677,O=C(COC(=O)CCc1ccc(S(=O)(=O)N2CCCCC2)cc1)Nc1ccc2c(c1)OCO2
42,,,,,,,,,,,,,,0.0,,,,CID5187798,O=C(CSc1cccc[n+]1[O-])Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
43,,,,,,,,0.0,,,,,,,,,,CID5390005,CCc1cc2c(CN3CCN(C)CC3)cc(=O)oc2cc1O
44,,0.0,,,,,,,,,,,,,,,,CID5390004,CCc1cc2c(CN3CCN(CCO)CC3)cc(=O)oc2cc1O
45,,0.0,,,,,0.0,0.0,,,,,,,,,,CID2971550,O=C(Cc1cccs1)N1CCN(C(=O)C2CCCO2)CC1
46,,,,,,,,,,,,0.0,,,,,,CID1468210,Cc1nc(NC(=O)/C=C/c2ccccc2)sc1C(=O)Nc1ccccc1Cl
47,,,,,,,,,,,,,,,0.0,,,CID2156504,O=C(NCCSc1c(-c2ccccc2)[nH]c2ccccc12)c1cc2ccccc2oc1=O
48,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,CID1377111,COc1cc(C)c(CN2CCN(c3ccccc3)CC2)cc1C
49,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,CID4649,Nc1ccc(C(=O)O)c(O)c1
50,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,CID2268406,Cc1ccc(S(=O)(=O)NC(=O)Nn2c(C)nnc2C)cc1
51,,,,,,0.0,,,,,,,,,,,,CID1481302,CCn1c(SCc2ccc(F)cc2)nnc1-c1nn(-c2ccccc2)ccc1=O
52,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,CID3240394,CCOCC(=O)Nc1c(C(=O)OCC)oc2ccccc12
53,,,,,,,,,,,,0.0,,,,,,CID3240393,COc1ccc(C2C(C(=O)N3CCN(c4ccccn4)CC3)CC(=O)N2c2ccc(OC)cc2)cc1
54,,,,,0.0,,,0.0,0.0,,,,,,,,,CID3240392,COc1ccc(N(CC(=O)Nc2cccc(C(=O)O)c2)S(=O)(=O)c2c(C)noc2C)cc1
55,0.0,,0.0,,,0.0,,1.0,,,,,,,,,,CID3240391,COc1ccc(OC)c(-n2c(C)nc3cc(C(=O)O)ccc32)c1
56,,,,0.0,,,,0.0,,,,,,,,,0.0,CID3240390,CCOC(=O)N1CCN(S(=O)(=O)c2ccc3c(c2)OCC(=O)N3)CC1
57,,0.0,,,,,,,,,,,,,,0.0,0.0,CID3240399,Cn1cnnc1SCC(=O)OCN1C(=O)c2ccccc2C1=O
58,,,,,,,,,,,,,,0.0,0.0,,,CID2215966,CC1(C)NC(=O)N(CCOCCOc2ccccc2-c2ccccc2)C1=O
59,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,CID650808,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2cccc(S(=O)(=O)N(C)C)c2)CC1
60,,,,,,,,0.0,0.0,,,,,,,,,CID650809,Cn1c(NCCCO)nc2c(c1=O)C1(CCCCC1)Cc1ccccc1-2
61,,,,,0.0,0.0,,,,,,,0.0,,,,,CID3236550,CCN(CCNC(=O)C1CC(=O)N(CCc2ccccc2)C1)c1ccccc1
62,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,CID650803,CCOc1ccc(NC(=O)C2CCC(N3C(=O)C4CC=CCC4C3=O)CC2)cc1
63,,0.0,,0.0,,,0.0,,,,0.0,,,,,,,CID650800,CC(C)(C)n1nnnc1C(c1ccncc1)N1CCCCCC1
64,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,,CID650801,CC1(C)CN=C(N2CCN(C3=NCC(C)(C)S3)CC2)S1
65,,,0.0,,,,,,,0.0,,,0.0,,,0.0,0.0,CID650806,Clc1ccc2oc(-c3ccccn3)nc2c1
66,,,,,,,,,0.0,,,0.0,,,,,,CID650807,COc1ccc(N2CC(C(=O)Nc3ccccc3C(=O)NCc3ccco3)CC2=O)cc1
67,,,0.0,,,,,0.0,,,,,,,,,,CID650804,Cc1cc(NC(=O)c2cccnc2)ccc1NC(=O)c1ccco1
68,,,,0.0,,,,,,,,,,,,,,CID650805,CC1(C)Cc2c(sc3ncnc(N)c23)CO1
69,,,,,,,,,,,,,,0.0,,,,CID840475,CCc1ccc(/C=N/NC(=O)c2ccc(Br)o2)s1
70,,,,,,0.0,,,,,,,,,,,,CID1909577,CCN(CC#CCC1(O)c2ccccc2-c2ccccc21)CCO
71,,,,,,,,0.0,0.0,,,,0.0,,,,,CID2943559,OC(COc1ccc(OCc2ccccc2)cc1)CN1CCOCC1
72,,,,,,,,,,,0.0,,,,,,,CID1482658,CCn1cc(S(=O)(=O)c2ccc(C)cc2)n(Cc2ccc(C(C)(C)C)cc2)c1=O
73,,,,,,,,,,,,0.0,,,,,,CID884233,O=C(Nc1ccc(Oc2cccc3ccccc23)cc1)c1ccco1
74,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,,CID648339,CCCOc1ccc(C(=O)NCc2cccnc2)cc1
75,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,CID648338,COc1ccc2oc(C)c(C(N)=O)c2c1
76,,,,,,,,,,0.0,,,,0.0,,,,CID2851395,O=C1CC(N2CCC(Cc3ccccc3)CC2)C(=O)N1CCc1ccccc1
77,,,,,0.0,,,,,,,,,,,,,CID648331,Cc1nnc(Sc2nc(Sc3nnc(C)s3)nc(N3CCN(C)CC3)n2)s1
78,,,,,0.0,,,,,,,,0.0,,,,,CID648330,CCCCn1c(SCc2cccnc2)nc2c1c(=O)n(C)c(=O)n2C
79,,,0.0,0.0,,,,,,,,,,0.0,,,,CID648333,COC(=O)c1ccccc1NC(=O)CN1CCC(n2nnc3cc(F)ccc32)CC1
80,,,,,,,,,,,,0.0,,,,,,CID648334,Cc1ccc(NC(=O)C2CCCN(c3ncccn3)C2)cc1F
81,,,,,,0.0,,,,,,0.0,,,,,,CID4065193,COc1cccc2cc(C(=O)NCc3ccco3)/c(=N/c3ccc(C(=O)O)cc3)oc12
82,,,,,0.0,,,,,,,,,,,,,CID648336,COc1ccc(CN(C(=O)CN2C(=O)COc3ccccc32)C2CCCC2)c(OC)c1
83,,,,,,,,,,,,,,,0.0,,0.0,CID5309823,CN1CCN(CCCNC(=O)c2cn(C)c3ccc(S(=O)(=O)N(C)C)cc3c2=O)CC1
84,,,,0.0,,,,,,,,,0.0,,0.0,,,CID5309822,O=C(Cn1ncc2c(=O)oc3ccccc3c21)NCCCN1CCCC1=O
85,,,0.0,,,0.0,,,,,,,,,,0.0,,CID5309821,CCn1c(=O)cc(OCC(=O)N2CCCC2)c2ccccc21
86,0.0,0.0,,,,,,,,,,,,,,,,CID5309827,CC1=C(C(=O)Nc2cc(-c3cccc(F)c3)[nH]n2)C2(CCCCC2)OC1=O
87,,0.0,,,,0.0,,,,,,,,,,,,CID5309826,CCOC(=O)N1CCC(NC(=O)CSCc2nc(-c3sccc3C)oc2C)CC1
88,,,0.0,0.0,,,,,,,,,,,,,,CID5498390,COC(=O)C1=C/C(=C2/C=Nc3ccccc32)NN1
89,,,,0.0,,,,,,,,,0.0,,,,,CID5309824,CC1=C(C(=O)Nc2cccnc2)C(c2ccc(C(C)C)cc2)N2NC=NC2=N1
90,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,CID5309829,CCCc1cc(C(=O)Nc2sc3c(c2C(=O)OCC)CCCC3)no1
91,,0.0,,,,,0.0,0.0,,,,,,,,,,CID5309828,Cc1cccc2sc(NC(=O)Cn3cccc3)nc12
92,,,,,,,,,,,,0.0,,,0.0,,,CID2175198,Cc1cccc(Oc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1C
93,,,,,,,,,,0.0,,,,0.0,,,,CID713301,CCCc1nn(-c2cc(Cl)ccc2OC)c2c1C(=O)CCC2
94,,,,,,,,,0.0,0.0,,,,,,,,CID811700,CCC(=O)c1ccc(OC(=O)c2cccs2)cc1
95,,,,,,,,,,,,,,,0.0,,,CID1120458,CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1
96,,,,,,0.0,,,,,0.0,0.0,,,,,,CID655763,Cc1cc(C)c(NC(=O)CS(=O)CC(=O)N2CCN(c3ccccc3)CC2)c(C)c1
97,,,,,,,,,0.0,,,,,,,,,CID5916800,COc1ccc(/C=C/C(=O)CC(O)(c2ccccc2)C(F)(F)F)cc1
98,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,,CID665718,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)nc1
99,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,CID665719,COc1ccc(CCn2c(N3CCN(Cc4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)cc1
100,,0.0,,,,,0.0,,,,,,,,,,0.0,CID665712,O=C(NCCc1ccccc1F)C1CSC2c3ccccc3C(=O)N12
101,0.0,0.0,,,0.0,,,0.0,,,,,,,,0.0,,CID665713,COc1ccc(OCc2nn3c(-c4ccccn4)nnc3s2)cc1
102,0.0,,,,,,,,,,,,,,,,0.0,CID665710,O=C1c2oc3ccc(Cl)cc3c(=O)c2C(c2cccc(Br)c2)N1CCO
103,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,CID665711,CC1CC(=O)c2cnc(NCc3ccco3)nc2C1
104,,,,,,,,,,,,,,0.0,,,,CID2326654,C=CCNC(=S)Nc1ccc(Br)cc1F
105,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,CID665715,Cc1cc(-c2nnc3sc(C4CCCCC4)nn23)n[nH]1
106,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,CID780382,COc1ccc(NC2=Nc3ccccc3CC2)cc1
107,,,,,,,,,,,,0.0,,,,,,CID780385,c1ccc(NC2=Nc3ccccc3CC2)cc1
108,,,,,,,,,,0.0,,,,0.0,,,,CID1213228,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc1
109,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,CID780389,O/N=C1C(=C\c2ccccc2)/N2CCC/1CC2
110,,,,,0.0,,,0.0,,,,,,,,,0.0,CID545033,COC(=O)C(F)(Sc1c(C)n(C)n(-c2ccccc2)c1=O)C(F)(F)F
111,,,,,,0.0,,,,,,,,,,,,CID675947,Cc1c(NC(=O)COc2ccc3ccccc3c2)cccc1[N+](=O)[O-]
112,,,,,,0.0,,,,,,,,,,,,CID675944,O=C(COc1ccc(Cl)cc1)Nc1cc([N+](=O)[O-])ccc1F
113,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,CID663710,COCCCNc1nc2ccccc2nc1NS(=O)(=O)c1cccs1
114,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,CID663712,COC(=O)C(NC(=O)Nc1ccccc1F)C(C)C
115,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,CID663713,Cc1cccc2cc(COC(=O)c3ccco3)c(=O)[nH]c12
116,0.0,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,CID663715,COc1cccc(N2CCN(C3OC(=O)c4ccccc43)CC2)c1
117,,0.0,0.0,,,,,,,,,0.0,,,,,,CID663717,CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1
118,0.0,,,0.0,,,,,,,,0.0,,,,,,CID663719,COc1ccc(OC)c(NC(=O)NC(Cc2ccccc2)C(=O)O)c1
119,,,,,,,,,0.0,,,0.0,,0.0,,,,CID963517,O=C(O)c1cccc(CSc2nnc(-c3ccco3)o2)c1
120,,,,,,0.0,,,,,,,,0.0,,,,CID2216436,O=c1c2ccccc2ncn1CCCOc1ccccc1[N+](=O)[O-]
121,,,,0.0,0.0,,,,,,,,,,,0.0,,CID2216430,O=C(CSCc1nc(=O)[nH][nH]1)NCCOc1cccc(Oc2ccccc2)c1
122,,,,0.0,,,,,,,,,,0.0,,0.0,,CID2216431,OCc1ccccc1OCCOc1ccc(Cl)c2cccnc12
123,,,,,,,,,,,,,,0.0,,,,CID649467,CCCOc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1
124,,,,,,,,,,0.0,,,,,,,,CID2491904,O=C(CSc1nncn1-c1ccccc1)NCc1cccs1
125,,,,,,0.0,,,0.0,,,,,,,,,CID3225382,O=C(Nc1ccc2c(c1)OCCO2)c1cc2sccc2n1Cc1ccc(F)cc1
126,,,,,,,,,0.0,,,,,,,,,CID1046746,CCC(=O)NC(Nc1sc2c(c1C(=O)OC)CCN(C)C2)(C(F)(F)F)C(F)(F)F
127,,,,,0.0,,,,,,,0.0,,,,,,CID1632800,C=CCn1c(CSc2nc3ccccc3s2)nnc1SCC(=O)NCc1ccco1
128,,,,,,,,,,,,,,0.0,,,,CID1632802,O=C(NCCCO)c1ccc(CSc2nc3ccccc3[nH]2)cc1
129,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,CID790290,O=C(Nc1cccc2ccccc12)c1ccc(Br)o1
130,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,,CID853774,COc1cccc(NC(=O)N2CCOCC2)c1
131,,,,,,0.0,,,,,,,,0.0,,,,CID2884221,O=C(Nc1ccc([N+](=O)[O-])cc1)C1C(c2ccccc2)=C1c1ccccc1
132,0.0,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,,CID649924,O=C(NC12CC3CC(CC(C3)C1)C2)N1CCC(O)(c2ccc3c(c2)OCO3)CC1
133,,,,,,,,,,,,,,,0.0,,,CID5410778,CC1=CC(=O)/C(=C(\C)NNC(=O)c2ccccc2[N+](=O)[O-])C(=O)O1
134,,,,,,,,,,,,,,,0.0,,,CID4918698,CCOc1ccc(NC(=O)CC2C(=O)N(c3ccccc3)C(=S)N2Cc2ccccn2)cc1
135,,,,,,,,,,,,,,0.0,,,,CID2616165,Cc1ccc(C)c(SCC(=O)Nc2cccnc2Cl)c1
136,,,,,,0.0,,,,,,,,,,,,CID5094345,C=CCOC(=O)C1=C(C)NC(SC)=C(C#N)C1c1cccs1
137,,,,,,0.0,0.0,,,,,,,,,0.0,,CID880264,CC(C)CC(=O)Nc1ccc(OCC(=O)O)cc1
138,,,,,,,,,,,0.0,,,,,,,CID1480495,N#Cc1c(-c2ccccc2)nc(-c2ccccc2)nc1N1CCOCC1
139,,,,,,,,,,,,0.0,,0.0,,,,CID1480496,CNc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N
140,,,,,,,,,,,0.0,,,,,,,CID1451400,CCN(CC)C(=O)CSc1nnc(C2CCCCC2)o1
141,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,CID976732,COC(=O)COc1cccc(NC(=O)c2cccs2)c1
142,,,,,,,,,,,,,,,0.0,,,CID1338433,CCOc1ccc(C(=O)NC(=S)Nc2ccc(N3CCOCC3)c(Cl)c2)cc1[N+](=O)[O-]
143,,,,,,0.0,,0.0,,,,,,,,,,CID1218121,Cc1c(/N=C/C=C2\N(C)c3ccccc3C2(C)C)c(=O)n(-c2ccccc2)n1C
144,0.0,,,,,,0.0,,,,,,,0.0,,,,CID779196,O=C(O)c1ccc(Br)c(S(=O)(=O)N2CCCC2)c1
145,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,CID2057828,CCCCOc1ccc(-c2ncc(C(=O)OCC)c(N)n2)cc1
146,,,,,,,,,,,,,0.0,,,0.0,,CID1365020,COc1ccccc1N1CCN(CCc2n[nH]c(=S)n2-c2ccccc2)CC1
147,,,0.0,,,,,0.0,,,,,,,,,,CID2929660,COc1ccc(CC(=O)N2CC3(C)CC2CC(C)(C)C3)cc1OC
148,,,,,,,,,,0.0,,,,,,,,CID1101215,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c(C)cccn2c1C(N)=O
149,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,CID993261,Cc1cc(NC(=O)CSc2nc(-c3ccco3)cc(C(F)(F)F)n2)n(-c2ccccc2)n1
150,,,,,0.0,,,,,,,,,,,,,CID3240429,COc1ccc(Nc2ncc(C(=O)N3CCC4(CC3)OCCO4)c3ccccc23)cc1
151,0.0,0.0,,,,,,,,,,,,,,,,CID1257401,O=C(Nc1cccnc1)c1cnn2c(C(F)F)cc(C3CC3)nc12
152,,,,,,,0.0,,,0.0,,,,,,,0.0,CID3240428,Cn1c(C(=O)O)c(CC(=O)Nc2ccccc2F)c2ccccc21
153,,,,,,,,,,0.0,,,,,0.0,,0.0,CID2933378,CCOc1ccc(NC(=O)C2CC(C)=C(C)CC2C(=O)O)cc1
154,,,,0.0,,,,0.0,,,,,,,,,,CID2933372,Cc1c(NC(=O)C2CC=CCC2C(=O)O)c(=O)n(-c2ccccc2)n1C
155,,,,,,,,,,0.0,,,,,,,,CID2933370,O=C(c1ccccc1C(=O)N1CCN(c2ccccc2F)CC1)N1CCN(c2ccccc2F)CC1
156,,,,,,,,,,,,,,0.0,,,,CID573993,O=C(Nc1nonc1NC(=O)c1cccs1)c1cccs1
157,,,,,0.0,0.0,,0.0,,,,,,,,,,CID3240425,CCOc1ccccc1OCCCCCc1c(C)n[nH]c1C
158,0.0,,0.0,,,,,,,,,,,,,,,CID4444351,CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1
159,,,,,,0.0,,,,,,,,,,,,CID915729,COc1ccc2c(c1)c(C(=O)CN1CCC(C(N)=O)CC1)c(C)n2C
160,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,,CID2084566,c1ccc(-c2nnc(CSc3nnc(-c4cccs4)o3)o2)cc1
161,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,CID3240424,CCOC(=O)CSc1nc2ccccc2c(=O)n1CC1COc2ccccc2O1
162,,,,,,0.0,,,,,,,,0.0,,,,CID1474985,O=C1CCCc2ccccc2N1Cc1cccc(Cl)c1
163,,,,,0.0,,,,,,,,,,,0.0,,CID3240427,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2c3c(nn2C(C)(C)C)CS(=O)(=O)C3)cc1
164,,,,,,,,,,,,,,0.0,,,,CID728319,CN1CCN(c2cn[nH]c(=O)c2Cl)CC1
165,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,CID2109903,CC(C)c1nc(SCC(=O)NCc2ccccc2)n[nH]1
166,,,,,,,,,,,0.0,,,,,,,CID4679772,CC(NC(=O)c1ccccc1F)C(=O)O
167,,,,,0.0,,,,,,,,,0.0,,,,CID647730,Cc1ccc(S(=O)(=O)c2nc(NC3CCS(=O)(=O)C3)sc2Cl)cc1
168,,,,,,,,,,,,,,,0.0,,,CID2867472,O=C1C=C(NCCN2CCOCC2)CC(c2ccccc2)C1
169,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,CID251641,CCOC(=O)c1cnc(SCc2ccccc2)nc1N
170,,,,,,,,0.0,0.0,,,,,,,,,CID3240420,CCOC(=O)C1CCN(C(=O)Nc2ccc(NC(=O)C3CCN(C(=O)OCC)CC3)cc2)CC1
171,,,,,,,,,,,,0.0,,,,,,CID3579545,CCn1c2ccccc2c2cc(NC(=O)C(C)Oc3ccccc3)ccc21
172,,,,,,0.0,,,,,,,,,,,,CID5204024,O=C(CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)NC1CCCc2ccccc21
173,0.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,CID647732,Cc1cc(C)c(NC(=O)CSc2nnc(-c3ccncc3)n2Cc2ccco2)c(C)c1
174,,,,,,,,,0.0,,,,,,,,,CID3238733,Clc1ccc(Cl)c2sc(N3CCCC3)nc12
175,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,CID647733,CCC(OC(=O)c1cc2sccc2n1C)C(=O)NCc1ccco1
176,,,,,,,,,,0.0,0.0,,,,,,,CID837247,CC(C)C(=O)Nc1ccc(C(=O)c2ccccc2)cc1
177,,,,,,,,,,0.0,,,,,,,,CID3238731,COc1ccc2c(c1)C1CC(C)(NC(=O)C1C(=O)c1ccccc1)O2
178,,,,,,,,,,,,,,,0.0,,,CID2181873,CCOc1ccc(OCCCN(C)C)cc1
179,,0.0,,,,,,,,,,,,,,,,CID3238736,Clc1cccc2sc(N3CCCC3)nc12
180,,,,,,0.0,,,,,,,,,,,,CID3772753,CCOC(=O)c1c(-c2ccc(Cl)cc2)cn2ccccc12
181,,,,,,,,,,,,,,0.0,,,,CID6619960,CCc1ccc(NC(=O)Cn2cccc2)cc1
182,,,,,,,,,,,,0.0,,,,,,CID6619966,CCOC(=O)N1CCC(NC(=O)c2ccc3c(c2)N(Cc2ccc(C)cc2)CCS3)CC1
183,0.0,,,,,,0.0,,,,,,,,,,,CID2106461,CN1CCCN(C(=O)Cc2c(Cl)cccc2Cl)c2nc3ccccc3nc21
